Song Id,Song,angry,disgust,fear,happy,sad,surprise,neutral,class
1,9 se 12,13.32882273,0.067658999,5.48037889,12.58457375,57.91610284,2.50338295,8.051420839,Class_Ha
2,Aa to sahi - judwa 2,20.44270833,0.130208333,5.078125,6.901041667,57.421875,3.125,6.770833333,Class_Ha
3,Aadat - Atif Aslam,11.24401914,0,17.46411483,13.63636364,0,0,57.41626794,Class_Ca
4,Aaj blue hai Paani Paani,9.563886764,0.076511094,12.39479725,7.651109411,54.85845448,2.142310635,13.23641928,Class_Ha
5,Aaj dekhe jara kisme kitna hai dum,13.95348837,0,6.478405316,6.312292359,60.29900332,0,12.79069767,Class_Ex
6,Aaj din chadeya,5.625879044,0,1.828410689,8.860759494,50.63291139,0,32.91139241,Class_Ca
7,Aaj jaane ki jid na karo,44.30379747,0,0,1.265822785,49.36708861,0,3.797468354,Class_Ca
8,Aaj se teri - Padman,11.25541126,0.288600289,5.627705628,13.27561328,52.95815296,0.144300144,16.30591631,Class_Ha
9,Aaja aaja dili chode,47.45762712,0,0.847457627,5.93220339,40.6779661,0,4.237288136,Class_An
10,Aami j tumharo,12.88343558,0,4.90797546,12.88343558,52.7607362,0.613496933,15.33742331,Class_An
11,Aan Milo sajna,12.40768095,0,6.203840473,29.98522895,36.63220089,0,14.62333826,Class_Ca
12,"Aankhen teri, itni haseen",7.049180328,0,5.901639344,24.59016393,41.80327869,1.31147541,19.18032787,Class_Ca
13,Aaoge jb tum,6.607929515,0,22.90748899,12.48164464,48.45814978,1.468428781,7.929515419,Class_Sa
14,aapki Kashish,9.696969697,0,10.4040404,4.848484848,57.37373737,0.808080808,16.76767677,Class_Ca
15,Aayat ,0.131578947,0,12.36842105,5,41.18421053,0,41.18421053,Class_Ca
16,Abhi kuch dino se,16.10429448,0,8.895705521,21.93251534,34.81595092,1.073619632,17.02453988,Class_Ha
17,Abhi na jao chod k,7.80399274,0,3.811252269,17.96733212,31.57894737,0.181488203,38.47549909,Class_Ca
18,Aditi ,10.40462428,0.115606936,11.79190751,13.75722543,52.94797688,1.965317919,8.901734104,Class_Ha
39,Bepanah pyar hai ,26.53061224,0,8.163265306,6.12244898,38.7755102,2.040816327,16.32653061,Class_Ca
40,Bhag dike bhos- Delhi Belli,11.25827815,0,37.08609272,2.649006623,31.78807947,2.649006623,13.90728477,Class_Ex
41,Bhagwan Kahan hai tu,11.08949416,0.097276265,4.085603113,1.653696498,57.87937743,0.583657588,24.51361868,Class_Sa
42,Bharon fool barsao mera Mehboob aaya hai,12.22570533,0,15.98746082,7.523510972,45.76802508,2.821316614,15.36050157,Class_Ca
43,Bichadan,18.04670913,0,6.581740977,16.77282378,35.45647558,0.212314225,22.71762208,Class_Sa
44,Blue eyes,6.937172775,0,5.497382199,15.18324607,60.34031414,0.654450262,11.2565445,Class_Ha
45,Bol do na Zara,18.95424837,0,19.08496732,5.22875817,45.22875817,0.130718954,11.24183007,Class_Ca
46,Bom diggy diggy BOM,9.436954798,0.079302141,5.868358446,21.49088025,56.22521808,0.475812847,6.344171293,Class_Ex
47,Bombae (Badshah Songs),9.076175041,0.324149109,8.103727715,16.20745543,42.30145867,0.648298217,23.17666126,Class_Ex
48,Break up song,7.069023008,0,8.202734245,16.90563521,54.78492831,0.300100033,12.70423474,Class_Ha
49,Bulleya (Sultan),10.13615734,0,6.807866868,5.748865356,57.63993949,0.15128593,19.36459909,Class_Ca
50,chakde India,11.91709845,0,14.6373057,1.943005181,55.82901554,0.388601036,15.15544041,Class_Ex
51,Chal Chalein ,13.05263158,0,4.210526316,12.10526316,53.15789474,1.368421053,16,Class_Ca
52,Chal chiyan chiyan chiyan,13.7254902,0,13.7254902,5.882352941,50.98039216,0.980392157,13.7254902,Class_Ha
53,Challa ki labhda fire,14.60674157,0.481540931,3.04975923,11.87800963,54.89566613,1.123595506,13.80417335,Class_Ca
54,Chana mereya,11.50855365,0,4.043545879,1.710730949,77.91601866,0.155520995,4.510108865,Class_Sa
55,Chand chupa Badal,7.571801567,0,4.699738903,30.54830287,40.9921671,0.261096606,15.66579634,Class_Ha
56,Chand sifarish,10.21814007,0,8.725602755,27.8989667,43.16877153,1.148105626,8.725602755,Class_Ca
57,Chanda chamke chm chm,9.135399674,0,9.298531811,27.7324633,42.25122349,1.141924959,10.27732463,Class_Ha
58,Chapa chapa charkha chale,8.152173913,0,3.260869565,36.95652174,42.11956522,0,9.239130435,Class_Ca
59,Cheez Badi (Machine),8.693586698,0,6.555819477,20.95011876,51.78147268,0.522565321,11.44893112,Class_Ha
60,Chithi aayi hai,11.47540984,0.218579235,4.262295082,6.448087432,46.12021858,0.109289617,31.2568306,Class_Sa
61,Chithi na koi sandesh,0,0,0,0,99.17355372,0,0,Class_Sa
62,Chura Liya hai tumne jo Dil Ko,21.0738255,0.134228188,9.261744966,19.86577181,33.02013423,1.073825503,15.43624161,Class_Ca
